Modelo;R2 (Varianza Explicada);MAE (Error Absoluto);RMSE (Error Raíz Cuadrada);MSE;JS Divergence (0=Perfecto);KL Divergence;DME (Error Consenso)
RandomForest;0,3388;0,2266;0,3262;0,1064;0,4585;7,1541;0,0853
LinearRegression;0,289;0,2705;0,3382;0,1144;0,4345;8,1723;0,1195
