Modelo;R2;MAE;RMSE;MSE;JS Divergence (0=Perfecto);KL Divergence;DME (Error Consenso)
RandomForest;0,0728;0,1994;0,2829;0,0801;0,3748;3,8682;0,0197
LinearRegression;0,0803;0,2005;0,2818;0,0794;0,3597;3,7879;0,0114
