locationid;sessionid;groupid;recordid;start_time;end_time;latitude;longitude;language;survey_version;ssi01;ssi02;ssi03;ssi04;pleasant;chaotic;vibrant;uneventful;calm;annoying;eventful;monotonous;sss01;sss02;sss03;sss04;sss05;who01;who02;who03;who04;who05;who_sum;age00;gen00;edu00;eth00;occ00;eth00_other;occ00_other;misc03;misc03_other;misc01;use00;uni00;recordinglength;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;sil4_sil(rms);sil4_sil(av);sil4_min;sil4_max;sil4_sil5;sil4_sil10;sil4_sil50;sil4_sil90;sil4_sil95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
LianhuashanParkEntrance;LianhuashanParkEntrance1;LPE1105;31;2019-03-31 11:07:00;;;;cmn;cmnSSIDv3;2,0;1,0;4,0;2,0;3,0;3,0;4,0;3,0;2,0;2,0;4,0;2,0;3,0;3,0;3,0;3,0;3,0;3,0;1,0;3,0;2,0;2,0;44,0;32,0;Female;SomePostgraduate;;Employed;;;;;;Leaving;Couple;79,69;81,25;71,83;89,62;83,5;82,88;81,05;78,75;76,06;80,67;69,2;88,09;83,09;82,45;80,47;78,19;75,04;75,63;64,73;87,41;78,42;77,39;74,75;72,16;71,01;40,7;0,0;60,0;38,9;34,0;28,1;24,2;2,39;0,0;3,61;2,77;2,67;2,39;2,12;2,05;0,0453;0,0186;0,274;0,0671;0,0614;0,0434;0,0311;0,0285;0,486;0,0;5,43;1,11;0,869;0,397;0,16;0,119;0,0449;0,0184;0,117;0,0789;0,0664;0,0429;0,027;0,0238;0,347;0,158;1,14;0,463;0,426;0,337;0,275;0,255;67,62;66,28;57,2;75,14;70,11;69,21;66,42;63,32;62,06;19,6;2,7;88,2;34,8;30,2;18,3;10,7;8,94;-1,88;-3,74;69,94;49,56;41,02;15,71;-1,93;-2,75
LianhuashanParkEntrance;LianhuashanParkEntrance2;LPE2138;31;2019-04-02 11:10:00;;;;cmn;cmnSSIDv3;1,0;1,0;3,0;3,0;5,0;4,0;5,0;4,0;4,0;4,0;5,0;4,0;4,0;3,0;2,0;3,0;4,0;4,0;4,0;4,0;4,0;4,0;80,0;40,0;Male;SomeCollege;;Other;;;;;;Arriving;Couple;24,03;72,62;69,05;76,51;74,77;74,01;72,47;71,12;70,66;71,38;67,54;75,9;73,92;72,92;71,22;69,99;69,45;69,96;63,1;76,31;73,56;72,41;69,61;67,67;66,67;26,2;0,0;29,8;25,6;22,6;19,5;18,0;2,59;0,0;3,56;3,07;2,98;2,62;2,22;2,06;0,028;0,0142;0,0582;0,0418;0,0379;0,0272;0,0191;0,0173;1,62;0,0;3,91;3,08;2,9;1,66;0,539;0,352;0,0232;0,0112;0,0513;0,0488;0,0361;0,0208;0,0147;0,0133;0,291;0,135;0,495;0,414;0,384;0,287;0,203;0,183;62,66;61,71;55,66;65,29;64,18;63,63;61,74;59,88;58,66;14,1;1,63;46,6;26,0;21,9;13,1;7,35;6,13;-1,48;-13,57;62,29;43,19;38,01;7,71;-10,77;-11,77
LianhuashanParkEntrance;LianhuashanParkEntrance1;LPE1094;4;2019-03-31 10:22:00;;;;cmn;cmnSSIDv3;2,0;2,0;4,0;2,0;2,0;4,0;3,0;3,0;2,0;3,0;3,0;3,0;3,0;1,0;4,0;3,0;4,0;2,0;2,0;2,0;2,0;2,0;40,0;28,0;Male;UniversityGraduate;;Employed;;;;;;Staying;Couple;25,75;82,33;76,26;87,17;85,65;84,84;81,57;79,16;78,62;81,86;75,72;86,6;85,09;84,3;81,18;78,66;78,1;74,19;68,89;78,94;76,89;76,32;73,81;71,53;70,82;36,9;0,0;44,3;35,8;31,0;26,4;25,2;2,17;0,0;2,82;2,5;2,41;2,15;1,96;1,89;0,0493;0,0242;0,115;0,0796;0,0695;0,047;0,0336;0,0312;0,659;0,0;2,22;1,31;1,16;0,588;0,241;0,185;0,0659;0,0394;0,0996;0,0929;0,0839;0,0639;0,0502;0,0442;0,353;0,176;0,641;0,493;0,439;0,346;0,273;0,251;64,9;64,25;59,88;69,44;67,24;66,63;64,22;61,92;61,34;22,1;3,37;63,5;39,1;34,3;20,9;12,3;10,3;-5,36;-1,26;78,29;47,13;36,61;16,24;0,7;0,14
LianhuashanParkEntrance;LianhuashanParkEntrance2;LPE2125;4;2019-04-02 10:05:00;;;;cmn;cmnSSIDv3;3,0;2,0;3,0;3,0;3,0;2,0;4,0;3,0;4,0;2,0;3,0;3,0;4,0;3,0;2,0;4,0;4,0;3,0;2,0;3,0;4,0;3,0;60,0;45,0;Male;HighSchoolGraduate;;RatherNotSay;;;;;;Leaving;Alone;148,99;71,8;67,92;81,33;74,37;73,39;71,16;69,69;69,32;68,82;63,64;77,94;70,78;70,11;68,47;67,37;67,07;63,62;56,38;76,54;66,75;65,7;62,89;60,11;59,15;19,0;0,0;33,3;18,2;15,6;13,1;12,4;2,14;0,0;3,12;2,54;2,48;2,14;1,77;1,7;0,0294;0,0123;0,184;0,0422;0,0383;0,0283;0,0214;0,02;0,37;0,0;2,03;0,918;0,755;0,295;0,0838;0,0475;0,016;0,00479;0,0706;0,0382;0,0284;0,0127;0,00739;0,00642;0,353;0,189;1,8;0,514;0,44;0,332;0,276;0,261;56,63;55,38;48,42;67,49;59,19;58,32;55,51;52,17;51,21;10,5;0,336;83,4;22,0;17,7;9,0;4,72;3,84;-0,57;-12,1;63,96;39,71;30,85;5,81;-10,21;-10,68
LianhuashanParkEntrance;LianhuashanParkEntrance1;LPE1094;5;2019-03-31 10:23:00;;;;cmn;cmnSSIDv3;4,0;2,0;4,0;2,0;5,0;2,0;5,0;2,0;2,0;2,0;4,0;2,0;4,0;4,0;2,0;2,0;3,0;4,0;1,0;4,0;4,0;4,0;68,0;26,0;Female;UniversityGraduate;;Employed;;;;;;Staying;Group;25,75;82,33;76,26;87,17;85,65;84,84;81,57;79,16;78,62;81,86;75,72;86,6;85,09;84,3;81,18;78,66;78,1;74,19;68,89;78,94;76,89;76,32;73,81;71,53;70,82;36,9;0,0;44,3;35,8;31,0;26,4;25,2;2,17;0,0;2,82;2,5;2,41;2,15;1,96;1,89;0,0493;0,0242;0,115;0,0796;0,0695;0,047;0,0336;0,0312;0,659;0,0;2,22;1,31;1,16;0,588;0,241;0,185;0,0659;0,0394;0,0996;0,0929;0,0839;0,0639;0,0502;0,0442;0,353;0,176;0,641;0,493;0,439;0,346;0,273;0,251;64,9;64,25;59,88;69,44;67,24;66,63;64,22;61,92;61,34;22,1;3,37;63,5;39,1;34,3;20,9;12,3;10,3;-5,36;-1,26;78,29;47,13;36,61;16,24;0,7;0,14
LianhuashanParkEntrance;LianhuashanParkEntrance2;LPE2126;5;2019-04-02 10:08:00;;;;cmn;cmnSSIDv3;3,0;1,0;1,0;3,0;5,0;4,0;5,0;5,0;5,0;4,0;5,0;5,0;4,0;2,0;1,0;3,0;3,0;2,0;3,0;4,0;3,0;4,0;64,0;23,0;Male;UniversityGraduate;;Employed;;;;;;Staying;Group;156,97;71,83;66,98;86,14;75,75;73,56;70,8;69,13;68,79;68,64;64,7;75,05;70,8;70,15;68,31;66,93;66,6;63,09;57,4;70,78;66,54;65,72;62,08;59,73;59,08;17,5;0,0;26,1;16,8;14,8;12,8;12,4;2,06;0,0;3,37;2,43;2,35;2,05;1,78;1,7;0,0289;0,0124;0,136;0,0421;0,0379;0,0278;0,0207;0,0191;0,46;0,0;2,13;1,32;1,04;0,331;0,0812;0,0512;0,0188;0,00606;0,0758;0,0379;0,0284;0,0173;0,0108;0,00919;0,327;0,158;1,44;0,462;0,419;0,315;0,241;0,224;55,43;54,52;49,0;64,24;57,66;56,73;54,55;52,1;51,35;11,2;0,392;84,1;22,6;18,7;9,93;5,18;4,27;-0,7;-12,68;64,38;38,39;29,39;3,58;-10,38;-11,19
LianhuashanParkEntrance;LianhuashanParkEntrance1;LPE1094;6;2019-03-31 10:23:00;;;;cmn;cmnSSIDv3;1,0;1,0;4,0;2,0;5,0;1,0;5,0;3,0;4,0;1,0;5,0;1,0;5,0;5,0;1,0;5,0;5,0;5,0;3,0;5,0;5,0;3,0;84,0;56,0;Female;SomeHighSchool;;Employed;;;;;;Leaving;Alone;25,75;82,33;76,26;87,17;85,65;84,84;81,57;79,16;78,62;81,86;75,72;86,6;85,09;84,3;81,18;78,66;78,1;74,19;68,89;78,94;76,89;76,32;73,81;71,53;70,82;36,9;0,0;44,3;35,8;31,0;26,4;25,2;2,17;0,0;2,82;2,5;2,41;2,15;1,96;1,89;0,0493;0,0242;0,115;0,0796;0,0695;0,047;0,0336;0,0312;0,659;0,0;2,22;1,31;1,16;0,588;0,241;0,185;0,0659;0,0394;0,0996;0,0929;0,0839;0,0639;0,0502;0,0442;0,353;0,176;0,641;0,493;0,439;0,346;0,273;0,251;64,9;64,25;59,88;69,44;67,24;66,63;64,22;61,92;61,34;22,1;3,37;63,5;39,1;34,3;20,9;12,3;10,3;-5,36;-1,26;78,29;47,13;36,61;16,24;0,7;0,14
LianhuashanParkEntrance;LianhuashanParkEntrance2;LPE2127;6;2019-04-02 10:10:00;;;;cmn;cmnSSIDv3;3,0;3,0;3,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;3,0;2,0;3,0;4,0;4,0;3,0;4,0;4,0;3,0;72,0;28,0;Female;SomeCollege;;Retired;;;;;;Leaving;Group;125,09;71,62;67,52;78,69;74,19;73,31;71,27;69,59;69,13;68,87;63,75;74,13;70,63;70,16;68,71;67,22;66,86;62,86;57,85;69,39;65,45;64,78;62,43;60,42;59,95;17,8;0,0;25,0;17,3;15,5;13,6;13,0;2,07;0,0;3,13;2,45;2,36;2,09;1,73;1,65;0,0296;0,013;0,106;0,0428;0,0388;0,0286;0,0214;0,0198;0,376;0,0;2,08;1,0;0,771;0,285;0,0671;0,0377;0,0153;0,00512;0,048;0,0291;0,0253;0,0136;0,00796;0,00708;0,305;0,15;0,805;0,398;0,368;0,3;0,244;0,228;55,47;54,81;50,01;61,33;57,13;56,63;54,93;52,7;52,11;9,9;0,544;60,2;19,4;16,2;9,01;4,79;3,9;-0,56;-13,04;63,4;38,71;29,48;3,48;-10,8;-11,5
MonumentoGaribaldi;MonumentoGaribaldi1;MG103;3;2019-03-03 11:23:00;2019-03-03 11:29:00;45,431837;12,354908;eng;engISO2018;2,0;1,0;3,0;2,0;5,0;1,0;1,0;3,0;3,0;1,0;1,0;1,0;4,0;4,0;2,0;1,0;2,0;4,0;4,0;2,0;3,0;3,0;64,0;;Male;SomeCollege;White;Employed;;;Tourist;;;Staying;Alone;30,51;59,55;56,07;64,06;61,77;61,14;59,21;57,48;57,13;58,96;55,42;63,25;61,26;60,61;58,66;56,75;56,43;49,8;45,3;61,18;53,27;50,96;48,43;46,46;46,13;9,09;0,0;17,4;8,14;6,68;5,64;5,45;1,93;0,0;3,01;2,47;2,37;1,92;1,53;1,46;0,0219;0,0106;0,111;0,0369;0,0294;0,0202;0,0151;0,0141;0,109;0,0;0,43;0,222;0,194;0,0885;0,0181;0,0103;0,0107;0,00448;0,0215;0,0191;0,0168;0,00993;0,00651;0,00533;0,461;0,272;1,5;0,763;0,585;0,424;0,343;0,322;42,76;41,09;36,68;53,93;46,34;43,69;40,65;38,54;37,98;6,66;0,112;46,5;14,1;11,4;5,74;2,81;2,18;-9,08;-7,97;53,15;22,75;19,07;8,73;-5,73;-6,39
MonumentoGaribaldi;MonumentoGaribaldi1;MG106;3;2019-03-03 11:33:00;2019-03-03 11:47:00;45,431837;12,354908;ita;itaSSIDv1;2,0;3,0;3,0;4,0;3,0;2,0;4,0;3,0;5,0;2,0;3,0;2,0;5,0;4,0;2,0;3,0;5,0;3,0;3,0;3,0;3,0;4,0;64,0;;Female;SomeHighSchool;White;Student;;;Tourist;;;Staying;Group;32,46;63,31;59,89;68,44;65,04;64,5;63,15;61,72;61,4;62,3;58,43;65,75;63,71;63,41;62,26;60,66;60,18;50,6;46,91;62,28;53,51;52,33;49,56;48,11;47,87;8,49;0,0;15,8;7,93;6,61;5,93;5,79;1,31;0,0;2,45;1,72;1,57;1,26;1,12;1,09;0,0289;0,0135;0,119;0,0495;0,0398;0,0264;0,0191;0,0176;0,161;0,0;0,904;0,34;0,289;0,136;0,0245;0,014;0,0128;0,00458;0,0346;0,0286;0,0219;0,0115;0,00617;0,00576;0,595;0,252;1,67;1,14;0,982;0,533;0,344;0,315;41,9;40,85;37,24;54,56;44,98;44,0;40,39;38,39;38,07;7,28;0,373;48,9;18,0;13,7;5,76;2,7;2,08;-8,91;-13,23;56,9;24,42;15,66;1,55;-9,56;-10,97
