locationid;sessionid;groupid;recordid;start_time;end_time;latitude;longitude;language;survey_version;ssi01;ssi02;ssi03;ssi04;pleasant;chaotic;vibrant;uneventful;calm;annoying;eventful;monotonous;sss01;sss02;sss03;sss04;sss05;who01;who02;who03;who04;who05;who_sum;age00;gen00;edu00;eth00;occ00;eth00_other;occ00_other;misc03;misc03_other;misc01;use00;uni00;recordinglength;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;sil4_sil(rms);sil4_sil(av);sil4_min;sil4_max;sil4_sil5;sil4_sil10;sil4_sil50;sil4_sil90;sil4_sil95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
MonumentoGaribaldi;MonumentoGaribaldi1;MG104;4;2019-03-03 11:22:00;2019-03-03 11:33:00;45,431837;12,354908;eng;engISO2018;1,0;1,0;3,0;5,0;4,0;2,0;3,0;2,0;5,0;1,0;2,0;2,0;5,0;4,0;2,0;1,0;3,0;4,0;5,0;3,0;4,0;2,0;72,0;;Male;UniversityGraduate;White;Student;;;Tourist;;;Arriving;Alone;34,65;56,24;53,33;63,43;58,61;57,78;55,8;54,67;54,36;55,54;52,63;61,76;58,08;57,19;54,97;53,82;53,53;50,35;45,05;61,17;53,52;52,12;48,96;47,1;46,63;7,82;0,0;15,9;7,32;6,06;5,25;5,04;1,72;0,0;2,95;2,17;2,02;1,68;1,46;1,41;0,026;0,0104;0,109;0,044;0,036;0,0237;0,0176;0,0161;0,104;0,0;0,691;0,26;0,181;0,0343;0,00592;0,00301;0,0163;0,00833;0,0736;0,0288;0,0249;0,0141;0,00966;0,00878;0,7;0,333;1,53;1,19;1,08;0,631;0,446;0,406;43,29;42,06;37,54;53,77;46,16;44,49;41,73;39,66;39,13;8,56;0,187;52,7;19,0;14,9;7,36;3,42;2,61;-3,62;-14,51;49,38;23,34;18,61;4,1;-8,99;-10,65
MonumentoGaribaldi;MonumentoGaribaldi1;MG106;4;2019-03-03 11:35:55;2019-03-03 11:45:21;45,431837;12,354908;ita;itaSSIDv1;1,0;2,0;3,0;3,0;5,0;1,0;4,0;3,0;5,0;1,0;3,0;2,0;4,0;4,0;3,0;1,0;4,0;4,0;2,0;2,0;1,0;3,0;48,0;;Female;SomeCollege;White;Student;;;;;;;;32,46;63,31;59,89;68,44;65,04;64,5;63,15;61,72;61,4;62,3;58,43;65,75;63,71;63,41;62,26;60,66;60,18;50,6;46,91;62,28;53,51;52,33;49,56;48,11;47,87;8,49;0,0;15,8;7,93;6,61;5,93;5,79;1,31;0,0;2,45;1,72;1,57;1,26;1,12;1,09;0,0289;0,0135;0,119;0,0495;0,0398;0,0264;0,0191;0,0176;0,161;0,0;0,904;0,34;0,289;0,136;0,0245;0,014;0,0128;0,00458;0,0346;0,0286;0,0219;0,0115;0,00617;0,00576;0,595;0,252;1,67;1,14;0,982;0,533;0,344;0,315;41,9;40,85;37,24;54,56;44,98;44,0;40,39;38,39;38,07;7,28;0,373;48,9;18,0;13,7;5,76;2,7;2,08;-8,91;-13,23;56,9;24,42;15,66;1,55;-9,56;-10,97
MonumentoGaribaldi;MonumentoGaribaldi1;MG104;5;2019-03-03 11:29:00;2019-03-03 11:35:00;45,431837;12,354908;eng;engISO2018;2,0;2,0;4,0;3,0;3,0;3,0;4,0;3,0;3,0;2,0;4,0;2,0;4,0;5,0;3,0;1,0;4,0;4,0;3,0;3,0;4,0;4,0;72,0;;Male;SomeCollege;Other;Student;;;Tourist;;;PassingThrough;Couple;34,65;56,24;53,33;63,43;58,61;57,78;55,8;54,67;54,36;55,54;52,63;61,76;58,08;57,19;54,97;53,82;53,53;50,35;45,05;61,17;53,52;52,12;48,96;47,1;46,63;7,82;0,0;15,9;7,32;6,06;5,25;5,04;1,72;0,0;2,95;2,17;2,02;1,68;1,46;1,41;0,026;0,0104;0,109;0,044;0,036;0,0237;0,0176;0,0161;0,104;0,0;0,691;0,26;0,181;0,0343;0,00592;0,00301;0,0163;0,00833;0,0736;0,0288;0,0249;0,0141;0,00966;0,00878;0,7;0,333;1,53;1,19;1,08;0,631;0,446;0,406;43,29;42,06;37,54;53,77;46,16;44,49;41,73;39,66;39,13;8,56;0,187;52,7;19,0;14,9;7,36;3,42;2,61;-3,62;-14,51;49,38;23,34;18,61;4,1;-8,99;-10,65
MonumentoGaribaldi;MonumentoGaribaldi1;MG108;5;2019-03-03 11:48:00;2019-03-03 11:58:00;45,431837;12,354908;ita;itaSSIDv1;1,0;3,0;3,0;2,0;4,0;2,0;4,0;3,0;4,0;1,0;4,0;1,0;4,0;5,0;1,0;1,0;3,0;4,0;3,0;3,0;1,0;3,0;56,0;;Female;SomeHighSchool;White;Retired;;;;;;Leaving;Couple;31,69;61,29;56,67;65,69;64,09;63,24;60,94;58,71;58,2;60,36;55,82;65,27;63,11;62,26;59,99;57,87;57,36;52,39;45,58;63,83;57,56;54,71;49,96;47,48;46,86;9,3;0,0;13,9;8,5;6,51;5,65;5,47;1,5;0,0;2,43;1,84;1,75;1,47;1,32;1,28;0,0243;0,0108;0,0944;0,0378;0,0332;0,0227;0,0168;0,0154;0,134;0,0;1,17;0,414;0,269;0,0669;0,014;0,0081;0,0183;0,00558;0,0455;0,0402;0,0324;0,0165;0,00797;0,00671;0,459;0,236;1,22;0,731;0,661;0,436;0,307;0,281;44,39;42,46;37,9;53,5;47,85;46,27;41,93;39,45;39,02;8,42;0,0999;55,5;19,0;16,1;6,98;3,02;2,33;-7,2;-18,75;55,05;24,99;16,64;-2,11;-16,75;-17,55
MonumentoGaribaldi;MonumentoGaribaldi1;MG106;6;2019-03-03 11:35:00;2019-03-03 11:45:00;45,431837;12,354908;eng;engISO2018;2,0;2,0;4,0;4,0;5,0;4,0;5,0;3,0;5,0;2,0;3,0;2,0;5,0;5,0;1,0;1,0;3,0;3,0;1,0;2,0;2,0;1,0;36,0;;Female;SomeCollege;White;Student;;;Local;;;Staying;Group;32,46;63,31;59,89;68,44;65,04;64,5;63,15;61,72;61,4;62,3;58,43;65,75;63,71;63,41;62,26;60,66;60,18;50,6;46,91;62,28;53,51;52,33;49,56;48,11;47,87;8,49;0,0;15,8;7,93;6,61;5,93;5,79;1,31;0,0;2,45;1,72;1,57;1,26;1,12;1,09;0,0289;0,0135;0,119;0,0495;0,0398;0,0264;0,0191;0,0176;0,161;0,0;0,904;0,34;0,289;0,136;0,0245;0,014;0,0128;0,00458;0,0346;0,0286;0,0219;0,0115;0,00617;0,00576;0,595;0,252;1,67;1,14;0,982;0,533;0,344;0,315;41,9;40,85;37,24;54,56;44,98;44,0;40,39;38,39;38,07;7,28;0,373;48,9;18,0;13,7;5,76;2,7;2,08;-8,91;-13,23;56,9;24,42;15,66;1,55;-9,56;-10,97
MonumentoGaribaldi;MonumentoGaribaldi1;MG111;6;2019-03-03 12:06:00;2019-03-03 12:16:00;45,431837;12,354908;ita;itaSSIDv1;2,0;2,0;3,0;2,0;1,0;3,0;3,0;3,0;2,0;1,0;4,0;1,0;4,0;4,0;2,0;1,0;2,0;3,0;3,0;4,0;4,0;4,0;72,0;;Female;TradeTechVocation;White;Employed;;;;;;Leaving;Couple;39,64;66,96;59,74;71,7;69,52;69,18;66,99;61,77;61,15;65,85;58,77;70,36;68,59;68,24;65,66;60,89;60,23;59,79;49,92;67,1;63,47;62,9;58,49;53,67;52,52;14,5;0,0;17,9;13,9;10,8;7,77;7,17;1,42;0,0;2,39;1,8;1,71;1,38;1,19;1,16;0,0588;0,0143;0,243;0,13;0,109;0,0477;0,0264;0,0227;0,222;0,0;1,81;0,488;0,401;0,193;0,0469;0,0258;0,0133;0,00344;0,0747;0,0414;0,0271;0,00847;0,00502;0,0044;0,447;0,194;1,27;0,697;0,607;0,428;0,309;0,278;50,02;48,23;39,45;57,22;53,76;52,69;48,26;43,37;42,17;8,97;0,238;59,3;20,7;16,7;7,32;3,27;2,51;-1,38;-12,69;58,65;33,19;20,96;4,23;-9,5;-10,52
PingshanPark;PingshanPark1;PP1045;1;2019-03-26 12:33:00;;;;cmn;cmnSSIDv3;2,0;3,0;3,0;2,0;4,0;4,0;5,0;3,0;3,0;4,0;5,0;4,0;3,0;3,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;80,0;40,0;Female;HighSchoolGraduate;;Employed;;;;;;;Alone;253,03;73,51;69,08;80,52;75,38;74,84;73,2;71,82;71,46;70,9;66,59;78,86;73,05;72,23;70,46;69,15;68,75;63,15;55,11;76,24;67,29;66,16;61,62;59,17;58,52;20,8;0,0;32,1;19,3;15,3;13,3;12,8;2,06;0,0;3,89;2,51;2,38;1,99;1,83;1,8;0,0286;0,0124;0,111;0,0408;0,0375;0,0278;0,0206;0,019;0,225;0,0;2,07;0,632;0,475;0,144;0,0305;0,0188;0,0276;0,00524;0,0854;0,0565;0,0494;0,0251;0,0105;0,00827;0,358;0,102;1,19;0,542;0,483;0,338;0,263;0,243;56,04;54,4;47,14;65,76;59,55;58,34;53,92;51,47;50,76;13,3;0,483;84,2;31,6;25,5;10,7;4,66;3,68;-2,85;-2,51;66,02;37,88;32,83;10,39;-1,06;-1,81
PingshanPark;PingshanPark2;PP2062;1;2019-03-30 09:39:00;;;;cmn;cmnSSIDv3;3,0;3,0;3,0;2,0;4,0;2,0;3,0;3,0;3,0;2,0;3,0;1,0;3,0;3,0;3,0;4,0;4,0;2,0;1,0;2,0;3,0;3,0;44,0;42,0;Female;HighSchoolGraduate;;Retired;;;;;;Staying;Alone;42,87;77,07;69,29;85,68;82,07;80,39;75,28;71,62;71,08;76,61;67,56;85,65;81,58;80,07;74,69;70,81;70,14;75,23;63,86;85,53;80,64;78,99;72,5;66,94;66,23;39,3;0,0;56,9;36,0;25,6;20,1;19,1;2,49;0,0;3,65;3,04;2,9;2,43;2,18;2,11;0,0373;0,015;0,178;0,0565;0,0504;0,0356;0,0253;0,0229;0,783;0,0;3,38;1,91;1,48;0,676;0,214;0,161;0,0573;0,011;0,153;0,12;0,099;0,053;0,0207;0,0159;0,378;0,127;0,865;0,601;0,53;0,361;0,26;0,225;67,34;64,73;56,01;76,99;71,84;70,42;64,51;59,46;58,82;22,1;1,41;92,6;46,3;38,7;19,1;8,73;7,0;-0,11;-5,31;62,69;50,08;41,06;15,89;-2,17;-3,21
PingshanPark;PingshanPark1;PP1050;10;2019-03-26 13:01:00;;;;cmn;cmnSSIDv3;2,0;2,0;4,0;4,0;3,0;3,0;4,0;3,0;3,0;4,0;2,0;2,0;3,0;2,0;2,0;4,0;4,0;4,0;4,0;5,0;5,0;4,0;88,0;44,0;Female;SomeCollege;;Unemployed;;;;;;;Couple;127,89;72,53;68,82;80,18;74,39;73,88;72,31;70,9;70,55;69,34;66,32;79,49;70,86;70,37;69,02;67,94;67,68;63,02;54,53;80,75;65,91;64,45;61,04;58,0;57,33;18,7;0,0;37,4;17,3;14,3;12,3;11,8;2,22;0,0;4,59;2,72;2,53;2,15;1,98;1,94;0,0272;0,0126;0,118;0,0387;0,0352;0,0261;0,0192;0,0177;0,252;0,0;4,56;0,66;0,487;0,179;0,0617;0,0455;0,0222;0,00727;0,078;0,0426;0,0346;0,0199;0,012;0,0101;0,349;0,162;1,61;0,497;0,439;0,327;0,268;0,252;56,45;53,93;47,73;68,12;58,46;57,09;53,73;50,91;50,28;11,8;0,678;109,0;24,6;20,3;10,3;5,25;4,26;-5,75;-2,26;65,85;38,35;32,54;9,04;-1,05;-1,59
PingshanPark;PingshanPark2;PP2067;10;2019-03-30 10:03:00;;;;cmn;cmnSSIDv3;4,0;4,0;4,0;2,0;5,0;2,0;5,0;4,0;4,0;2,0;4,0;3,0;3,0;2,0;4,0;4,0;4,0;2,0;2,0;1,0;1,0;2,0;32,0;30,0;Female;SomeCollege;;Employed;;;;;;Staying;Couple;118,64;72,53;68,47;82,92;75,52;74,29;71,7;70,23;69,88;71,87;67,2;82,84;75,2;73,85;70,82;69,21;68,83;69,45;60,07;82,64;74,0;72,21;67,37;64,37;63,75;26,9;0,0;42,2;25,0;20,3;17,7;17,1;2,28;0,0;3,5;2,69;2,56;2,24;2,06;2,02;0,0341;0,0138;0,127;0,0514;0,045;0,0328;0,0239;0,0219;0,344;0,0;4,19;1,15;0,817;0,206;0,0504;0,0338;0,0311;0,00819;0,131;0,0706;0,056;0,0253;0,0134;0,0119;0,338;0,145;0,989;0,514;0,451;0,319;0,255;0,234;61,82;60,15;53,72;71,32;65,14;63,64;59,76;57,17;56,52;14,9;1,01;104,0;32,5;26,4;12,4;6,38;5,22;-0,77;-6,97;60,65;46,35;36,51;12,16;-4,53;-5,2
PingshanPark;PingshanPark1;PP1051;11;2019-03-26 13:16:00;;;;cmn;cmnSSIDv3;3,0;3,0;3,0;4,0;4,0;4,0;4,0;3,0;3,0;2,0;2,0;3,0;3,0;2,0;2,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;80,0;27,0;Male;SomeCollege;;Employed;;;;;;;Alone;84,16;73,99;68,79;85,49;77,51;76,6;73,02;70,82;70,45;69,81;65,35;79,0;73,02;71,76;68,89;67,11;66,74;64,64;54,24;79,9;70,43;67,22;60,59;56,27;55,66;21,0;0,0;33,2;18,0;13,6;11,3;10,9;2,17;0,0;4,45;2,7;2,43;2,1;1,95;1,92;0,0262;0,0114;0,117;0,0384;0,0343;0,0251;0,0189;0,0175;0,291;0,0;3,18;0,914;0,611;0,156;0,0338;0,0204;0,0249;0,00659;0,108;0,0537;0,0416;0,0222;0,00941;0,00829;0,347;0,174;1,18;0,555;0,458;0,328;0,261;0,243;57,46;53,54;47,03;67,83;60,18;58,34;53,08;49,22;48,55;12,7;0,553;76,7;30,7;24,4;9,96;4,51;3,54;-1,26;-2,69;68,35;39,77;34,31;9,29;-1,0;-1,76
PingshanPark;PingshanPark2;PP2067;11;2019-03-30 10:03:00;;;;cmn;cmnSSIDv3;3,0;4,0;2,0;1,0;4,0;3,0;4,0;4,0;3,0;2,0;2,0;2,0;4,0;3,0;3,0;4,0;4,0;3,0;3,0;3,0;3,0;3,0;60,0;8,0;Female;SomeHighSchool;;Student;;;;;;Staying;Group;118,64;72,53;68,47;82,92;75,52;74,29;71,7;70,23;69,88;71,87;67,2;82,84;75,2;73,85;70,82;69,21;68,83;69,45;60,07;82,64;74,0;72,21;67,37;64,37;63,75;26,9;0,0;42,2;25,0;20,3;17,7;17,1;2,28;0,0;3,5;2,69;2,56;2,24;2,06;2,02;0,0341;0,0138;0,127;0,0514;0,045;0,0328;0,0239;0,0219;0,344;0,0;4,19;1,15;0,817;0,206;0,0504;0,0338;0,0311;0,00819;0,131;0,0706;0,056;0,0253;0,0134;0,0119;0,338;0,145;0,989;0,514;0,451;0,319;0,255;0,234;61,82;60,15;53,72;71,32;65,14;63,64;59,76;57,17;56,52;14,9;1,01;104,0;32,5;26,4;12,4;6,38;5,22;-0,77;-6,97;60,65;46,35;36,51;12,16;-4,53;-5,2
PingshanPark;PingshanPark1;PP1052;12;2019-03-26 13:22:00;;;;cmn;cmnSSIDv3;2,0;2,0;3,0;3,0;5,0;2,0;4,0;4,0;4,0;2,0;4,0;2,0;4,0;3,0;3,0;4,0;4,0;4,0;3,0;3,0;4,0;3,0;68,0;43,0;Female;SomeCollege;;Employed;;;;;;;Alone;213,18;73,46;68,24;86,59;75,92;74,89;72,69;70,9;70,41;69,65;65,16;77,71;72,03;71,25;69,22;67,57;67,15;60,5;53,62;73,62;64,63;62,74;58,54;55,96;55,48;16,6;0,0;30,1;15,5;12,8;11,1;10,8;2,0;0,0;3,15;2,27;2,18;1,98;1,83;1,79;0,0265;0,0112;0,0718;0,0384;0,0351;0,0255;0,0191;0,0176;0,195;0,0;2,46;0,604;0,422;0,102;0,0207;0,0121;0,0175;0,00393;0,182;0,037;0,0297;0,0143;0,00673;0,00575;0,328;0,104;1,06;0,478;0,414;0,312;0,253;0,236;53,01;51,3;46,12;65,09;56,07;54,45;50,9;48,6;48,1;9,53;0,0411;91,5;22,0;17,2;7,81;3,76;3,0;-0,91;-2,63;67,33;36,1;27,14;7,13;-0,76;-1,99
PingshanPark;PingshanPark2;PP2068;12;2019-03-30 10:09:00;;;;cmn;cmnSSIDv3;2,0;4,0;4,0;3,0;4,0;4,0;4,0;3,0;2,0;3,0;4,0;2,0;2,0;2,0;3,0;3,0;3,0;4,0;3,0;4,0;3,0;3,0;68,0;25,0;Female;SomePostgraduate;;Student;;;;;;Staying;Group;211,34;74,11;68,92;84,04;77,58;76,42;73,15;71,22;70,81;73,25;67,97;84,01;76,94;75,71;72,11;69,97;69,6;71,05;61,56;82,84;75,64;74,13;69,14;65,66;64,99;30,0;0,0;49,9;27,9;22,0;18,7;18,1;2,37;0,0;4,16;2,83;2,65;2,33;2,13;2,08;0,0339;0,0149;0,0888;0,0485;0,0445;0,0329;0,0247;0,0228;0,391;0,0;4,13;1,13;0,826;0,274;0,0721;0,047;0,043;0,00833;0,178;0,0955;0,0779;0,0366;0,0165;0,0128;0,352;0,0956;1,13;0,507;0,451;0,337;0,269;0,251;63,44;61,75;54,45;73,79;67,0;65,68;61,43;58,23;57,59;17,2;0,831;114,0;39,1;31,2;14,3;7,12;5,85;-1,01;-6,85;63,75;46,97;38,62;13,26;-3,5;-4,58
PingshanPark;PingshanPark1;PP1052;13;2019-03-26 13:22:00;;;;cmn;cmnSSIDv3;1,0;1,0;2,0;4,0;3,0;2,0;3,0;5,0;5,0;1,0;1,0;3,0;4,0;5,0;1,0;5,0;5,0;3,0;3,0;4,0;4,0;3,0;68,0;24,0;Male;SomePostgraduate;;Student;;;;;;;Alone;213,18;73,46;68,24;86,59;75,92;74,89;72,69;70,9;70,41;69,65;65,16;77,71;72,03;71,25;69,22;67,57;67,15;60,5;53,62;73,62;64,63;62,74;58,54;55,96;55,48;16,6;0,0;30,1;15,5;12,8;11,1;10,8;2,0;0,0;3,15;2,27;2,18;1,98;1,83;1,79;0,0265;0,0112;0,0718;0,0384;0,0351;0,0255;0,0191;0,0176;0,195;0,0;2,46;0,604;0,422;0,102;0,0207;0,0121;0,0175;0,00393;0,182;0,037;0,0297;0,0143;0,00673;0,00575;0,328;0,104;1,06;0,478;0,414;0,312;0,253;0,236;53,01;51,3;46,12;65,09;56,07;54,45;50,9;48,6;48,1;9,53;0,0411;91,5;22,0;17,2;7,81;3,76;3,0;-0,91;-2,63;67,33;36,1;27,14;7,13;-0,76;-1,99
PingshanPark;PingshanPark2;PP2068;13;2019-03-30 10:10:00;;;;cmn;cmnSSIDv3;3,0;3,0;3,0;2,0;4,0;2,0;4,0;4,0;4,0;2,0;3,0;3,0;3,0;2,0;2,0;2,0;4,0;4,0;5,0;4,0;3,0;4,0;80,0;25,0;Female;SomeHighSchool;;Other;;;;;;Arriving;Group;211,34;74,11;68,92;84,04;77,58;76,42;73,15;71,22;70,81;73,25;67,97;84,01;76,94;75,71;72,11;69,97;69,6;71,05;61,56;82,84;75,64;74,13;69,14;65,66;64,99;30,0;0,0;49,9;27,9;22,0;18,7;18,1;2,37;0,0;4,16;2,83;2,65;2,33;2,13;2,08;0,0339;0,0149;0,0888;0,0485;0,0445;0,0329;0,0247;0,0228;0,391;0,0;4,13;1,13;0,826;0,274;0,0721;0,047;0,043;0,00833;0,178;0,0955;0,0779;0,0366;0,0165;0,0128;0,352;0,0956;1,13;0,507;0,451;0,337;0,269;0,251;63,44;61,75;54,45;73,79;67,0;65,68;61,43;58,23;57,59;17,2;0,831;114,0;39,1;31,2;14,3;7,12;5,85;-1,01;-6,85;63,75;46,97;38,62;13,26;-3,5;-4,58
PingshanPark;PingshanPark1;PP1053;14;2019-03-26 13:27:00;;;;cmn;cmnSSIDv3;4,0;2,0;5,0;3,0;3,0;4,0;4,0;3,0;2,0;4,0;3,0;2,0;3,0;3,0;2,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;80,0;24,0;Male;SomePostgraduate;;Student;;;;;;;Alone;284,01;72,96;68,15;84,94;74,97;74,43;72,51;70,87;70,42;70,02;65,0;84,79;72,11;71,37;69,28;67,56;67,18;63,47;52,96;81,89;67,57;65,55;60,5;56,33;55,36;20,0;0,0;54,2;18,2;13,9;11,2;10,7;2,12;0,0;4,67;2,62;2,44;2,06;1,88;1,83;0,0268;0,0103;0,183;0,0397;0,0355;0,0255;0,0187;0,0172;0,267;0,0;3,63;0,807;0,583;0,168;0,0383;0,0241;0,0393;0,00365;0,236;0,151;0,1;0,0261;0,0107;0,00855;0,347;0,125;1,25;0,53;0,464;0,326;0,253;0,233;56,49;53,27;45,65;73,8;59,3;57,67;52,96;49,1;48,12;13,2;0,0645;107,0;31,3;25,3;10,5;4,69;3,68;-3,24;-1,41;65,91;38,64;31,01;10,49;0,2;-0,51
PingshanPark;PingshanPark2;PP2068;14;2019-03-30 10:10:00;;;;cmn;cmnSSIDv3;2,0;2,0;4,0;3,0;4,0;4,0;4,0;3,0;3,0;2,0;2,0;2,0;2,0;3,0;3,0;4,0;4,0;3,0;3,0;3,0;4,0;2,0;60,0;28,0;Female;TradeTechVocation;;Employed;;;;;;Staying;Group;211,34;74,11;68,92;84,04;77,58;76,42;73,15;71,22;70,81;73,25;67,97;84,01;76,94;75,71;72,11;69,97;69,6;71,05;61,56;82,84;75,64;74,13;69,14;65,66;64,99;30,0;0,0;49,9;27,9;22,0;18,7;18,1;2,37;0,0;4,16;2,83;2,65;2,33;2,13;2,08;0,0339;0,0149;0,0888;0,0485;0,0445;0,0329;0,0247;0,0228;0,391;0,0;4,13;1,13;0,826;0,274;0,0721;0,047;0,043;0,00833;0,178;0,0955;0,0779;0,0366;0,0165;0,0128;0,352;0,0956;1,13;0,507;0,451;0,337;0,269;0,251;63,44;61,75;54,45;73,79;67,0;65,68;61,43;58,23;57,59;17,2;0,831;114,0;39,1;31,2;14,3;7,12;5,85;-1,01;-6,85;63,75;46,97;38,62;13,26;-3,5;-4,58
PingshanPark;PingshanPark1;PP1053;15;2019-03-26 13:27:00;;;;cmn;cmnSSIDv3;3,0;2,0;3,0;2,0;4,0;3,0;4,0;3,0;3,0;2,0;4,0;3,0;3,0;2,0;2,0;4,0;3,0;2,0;1,0;4,0;2,0;1,0;40,0;30,0;Male;SomeHighSchool;;Employed;;;;;;;Alone;284,01;72,96;68,15;84,94;74,97;74,43;72,51;70,87;70,42;70,02;65,0;84,79;72,11;71,37;69,28;67,56;67,18;63,47;52,96;81,89;67,57;65,55;60,5;56,33;55,36;20,0;0,0;54,2;18,2;13,9;11,2;10,7;2,12;0,0;4,67;2,62;2,44;2,06;1,88;1,83;0,0268;0,0103;0,183;0,0397;0,0355;0,0255;0,0187;0,0172;0,267;0,0;3,63;0,807;0,583;0,168;0,0383;0,0241;0,0393;0,00365;0,236;0,151;0,1;0,0261;0,0107;0,00855;0,347;0,125;1,25;0,53;0,464;0,326;0,253;0,233;56,49;53,27;45,65;73,8;59,3;57,67;52,96;49,1;48,12;13,2;0,0645;107,0;31,3;25,3;10,5;4,69;3,68;-3,24;-1,41;65,91;38,64;31,01;10,49;0,2;-0,51
PingshanPark;PingshanPark2;PP2069;15;2019-03-30 10:14:00;;;;cmn;cmnSSIDv3;3,0;3,0;4,0;4,0;4,0;2,0;4,0;4,0;4,0;3,0;4,0;4,0;3,0;4,0;2,0;4,0;4,0;3,0;2,0;4,0;4,0;4,0;68,0;27,0;Male;SomeCollege;;Employed;;;;;;Staying;Group;138,94;72,95;68,43;81,54;76,19;74,98;72,06;70,36;69,98;72,26;67,2;81,38;75,83;74,52;71,18;69,28;68,87;70,09;61,8;82,33;74,44;72,88;68,31;65,03;64,29;28,0;0,0;43,2;25,9;21,0;18,0;17,4;2,32;0,0;4,08;2,73;2,59;2,28;2,09;2,04;0,0338;0,0121;0,124;0,0477;0,0443;0,0328;0,0246;0,0227;0,38;0,0;3,36;1,19;0,837;0,25;0,0661;0,0442;0,0356;0,00981;0,176;0,0815;0,0575;0,0292;0,0177;0,0157;0,354;0,151;1,67;0,522;0,46;0,335;0,266;0,249;62,62;60,89;54,47;72,33;65,88;64,42;60,62;57,57;56,91;16,3;1,1;101,0;35,9;29,2;13,7;6,88;5,61;-0,88;-5,58;62,04;45,93;36,65;13,31;-2,35;-3,31
PingshanPark;PingshanPark1;PP1053;16;2019-03-26 13:27:00;;;;cmn;cmnSSIDv3;2,0;1,0;4,0;3,0;4,0;3,0;4,0;4,0;2,0;1,0;3,0;2,0;4,0;4,0;1,0;2,0;3,0;3,0;3,0;3,0;3,0;2,0;56,0;25,0;Female;SomeCollege;;Student;;;;;;;Alone;284,01;72,96;68,15;84,94;74,97;74,43;72,51;70,87;70,42;70,02;65,0;84,79;72,11;71,37;69,28;67,56;67,18;63,47;52,96;81,89;67,57;65,55;60,5;56,33;55,36;20,0;0,0;54,2;18,2;13,9;11,2;10,7;2,12;0,0;4,67;2,62;2,44;2,06;1,88;1,83;0,0268;0,0103;0,183;0,0397;0,0355;0,0255;0,0187;0,0172;0,267;0,0;3,63;0,807;0,583;0,168;0,0383;0,0241;0,0393;0,00365;0,236;0,151;0,1;0,0261;0,0107;0,00855;0,347;0,125;1,25;0,53;0,464;0,326;0,253;0,233;56,49;53,27;45,65;73,8;59,3;57,67;52,96;49,1;48,12;13,2;0,0645;107,0;31,3;25,3;10,5;4,69;3,68;-3,24;-1,41;65,91;38,64;31,01;10,49;0,2;-0,51
PingshanPark;PingshanPark2;PP2069;16;2019-03-30 10:15:00;;;;cmn;cmnSSIDv3;3,0;3,0;3,0;2,0;4,0;3,0;4,0;4,0;3,0;3,0;3,0;2,0;3,0;2,0;3,0;4,0;4,0;3,0;2,0;3,0;2,0;4,0;56,0;28,0;Female;HighSchoolGraduate;;Employed;;;;;;Staying;Alone;138,94;72,95;68,43;81,54;76,19;74,98;72,06;70,36;69,98;72,26;67,2;81,38;75,83;74,52;71,18;69,28;68,87;70,09;61,8;82,33;74,44;72,88;68,31;65,03;64,29;28,0;0,0;43,2;25,9;21,0;18,0;17,4;2,32;0,0;4,08;2,73;2,59;2,28;2,09;2,04;0,0338;0,0121;0,124;0,0477;0,0443;0,0328;0,0246;0,0227;0,38;0,0;3,36;1,19;0,837;0,25;0,0661;0,0442;0,0356;0,00981;0,176;0,0815;0,0575;0,0292;0,0177;0,0157;0,354;0,151;1,67;0,522;0,46;0,335;0,266;0,249;62,62;60,89;54,47;72,33;65,88;64,42;60,62;57,57;56,91;16,3;1,1;101,0;35,9;29,2;13,7;6,88;5,61;-0,88;-5,58;62,04;45,93;36,65;13,31;-2,35;-3,31
