Modelo;R2 (Varianza Explicada);MAE (Error Absoluto);RMSE (Error Raíz Cuadrada);MSE;JS Divergence (0=Perfecto);KL Divergence;DME (Error Consenso)
Lasso;-0,1238;0,2458;0,3017;0,091;0,4119;6,9733;0,0127
GaussianProcess;-0,2924;0,2738;0,3236;0,1047;0,4044;5,0838;0,0093
XGBoost;-0,2895;0,2773;0,3232;0,1045;0,4178;7,6996;0,0005
SVR;-0,3378;0,2822;0,3292;0,1084;0,3993;5,066;0,0105
RandomForest;-0,623;0,3027;0,3626;0,1315;0,3322;1,9142;0,0235
LinearRegression;-0,7378;0,3032;0,3752;0,1408;0,3702;4,9735;0,0093
