Modelo;MAE (Error Absoluto);RMSE;MSE;R2 (Varianza);JS Divergence;KL Divergence;DME
SVR;0,334;0,3992;0,1594;-0,889;0,5383;10,7589;0,2634
XGBoost;0,3349;0,3976;0,1581;-0,8735;0,5935;15,064;0,2591
RandomForest;0,3554;0,4234;0,1792;-1,1243;0,5663;14,97;0,2859
Lasso;0,3562;0,422;0,1781;-1,1109;0,4995;10,33;0,2817
GaussianProcess;0,3592;0,4239;0,1797;-1,1299;0,5642;14,9636;0,3011
LinearRegression;0,3665;0,4461;0,199;-1,3585;0,3816;0,7737;0,2394
