locationid;count;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
CampoPrincipe;98;67,48;60,79;74,12;71,08;70,13;66,51;63,6;62,65;67,23;59,76;74,1;70,98;69,89;66,21;63,0;61,97;65,09;56,68;72,7;69,17;67,94;63,91;59,97;59,13;20,2;0,0;26,0;19,3;15,7;12,7;12,1;2,12;0,0;2,91;2,34;2,255;2,12;2,01;1,97;0,035;0,015;0,087;0,055;0,049;0,033;0,024;0,021;0,185;0,0;1,14;0,497;0,397;0,116;0,029;0,018;0,018;0,008;0,035;0,029;0,024;0,017;0,011;0,009;0,333;0,223;0,597;0,424;0,404;0,331;0,276;0,263;8,85;0,393;37,6;16,6;14,2;8,16;4,31;3,48;-0,37;-11,66;53,03;37,22;31,5;8,19;-8,41;-10,22
CarloV;90;70,0;58,54;82,545;76,57;73,755;68,0;62,19;61,19;65,2;56,03;75,955;70,245;69,11;62,33;59,305;58,39;58,59;49,59;69,96;62,36;61,17;57,23;53,815;52,82;13,2;0,0;20,2;12,4;9,99;7,965;7,525;1,81;0,0;2,94;2,275;2,155;1,76;1,53;1,48;0,028;0,013;0,087;0,044;0,038;0,026;0,019;0,018;0,222;0,0;1,55;0,646;0,444;0,158;0,047;0,031;0,034;0,012;0,088;0,067;0,059;0,033;0,018;0,016;0,452;0,198;1,17;0,743;0,645;0,424;0,306;0,274;12,7;0,912;59,6;28,4;23,1;10,75;5,03;4,015;-1,22;-15,71;65,7;32,16;23,71;3,065;-12,735;-13,955
MiradorSanNicolas;27;73,08;65,56;82,05;76,99;76,05;71,02;68,5;67,37;71,38;64,44;81,07;75,72;74,69;69,93;67,1;66,24;66,45;57,34;78,62;71,43;69,81;64,13;59,9;59,25;21,1;0,0;34,4;19,2;15,2;12,1;11,6;1,78;0,0;2,83;2,16;2,05;1,76;1,55;1,5;0,037;0,015;0,158;0,064;0,053;0,034;0,025;0,022;0,363;0,0;2,05;1,03;0,784;0,273;0,106;0,079;0,051;0,018;0,154;0,112;0,083;0,041;0,025;0,022;0,433;0,2;1,34;0,676;0,626;0,409;0,3;0,272;17,8;1,85;82,5;37,2;30,1;15,8;8,15;6,67;-0,78;-12,75;63,11;39,54;30,08;7,01;-9,15;-10,25
PlazaBibRambla;17;68,71;63,46;76,67;71,5;70,53;67,95;65,56;64,89;68,23;62,75;76,57;71,24;69,48;66,64;64,54;64,01;65,73;58,38;73,97;68,87;67,12;63,25;60,51;60,05;19,3;0,0;26,9;17,9;15,1;13,1;12,7;1,97;0,0;2,94;2,28;2,16;1,96;1,77;1,75;0,033;0,015;0,101;0,052;0,045;0,032;0,024;0,022;0,266;0,0;1,73;0,695;0,509;0,188;0,048;0,032;0,024;0,01;0,068;0,06;0,043;0,021;0,013;0,011;0,331;0,195;0,934;0,486;0,426;0,317;0,259;0,242;12,3;1,0;65,2;24,4;20,5;10,6;5,52;4,55;-0,42;-11,38;56,98;38,74;30,4;7,03;-7,91;-8,99
