locationid;pleasant;eventful;ISOPleasant;ISOEventful
CamdenTown;1,0;2,0;-0,7071067811865476;0,1893398282201787
CamdenTown;1,0;4,0;-0,7803300858899107;0,32322330470336313
CamdenTown;1,0;2,0;-0,3964466094067264;0,29289321881345254
EustonTap;1,0;2,0;-0,603553390593274;0,14644660940672624
EustonTap;1,0;1,0;0,04289321881345242;0,04289321881345251
EustonTap;4,0;5,0;0,323223304703363;0,340990257669732
EustonTap;3,0;4,0;-0,3232233047033632;0,17677669529663692
EustonTap;2,0;4,0;-0,5732233047033631;0,38388347648318455
EustonTap;2,0;3,0;-0,10355339059327381;0,7928932188134525
EustonTap;4,0;3,0;-0,1464466094067264;0,04289321881345237
EustonTap;4,0;3,0;0,10355339059327358;0,04289321881345256
EustonTap;3,0;4,0;0,1767766952966367;-0,2196699141100893
EustonTap;2,0;3,0;-0,5000000000000002;0,0
EustonTap;3,0;1,0;-0,39644660940672644;-0,20710678118654754
EustonTap;3,0;4,0;-0,28033008588991076;0,3232233047033631
EustonTap;2,0;4,0;-0,5000000000000001;0,5000000000000002
EustonTap;2,0;3,0;-0,42677669529663703;0,17677669529663692
EustonTap;2,0;2,0;-0,35355339059327384;-0,060660171779821304
EustonTap;5,0;3,0;0,3409902576697318;0,030330085889910607
EustonTap;3,0;3,0;-9,197388681172371e-17;9,197388681172371e-17
EustonTap;2,0;2,0;-0,2071067811865477;0,08578643762690492
EustonTap;1,0;4,0;-0,4696699141100894;0,4267766952966369
EustonTap;1,0;4,0;-0,8535533905932738;-0,10355339059327358
EustonTap;1,0;3,0;-0,8535533905932738;-0,10355339059327377
EustonTap;2,0;2,0;-0,3232233047033632;0,012563132923541859
EustonTap;3,0;2,0;-0,25000000000000017;-0,060660171779821394
EustonTap;3,0;2,0;-0,0428932188134527;-0,3535533905932737
EustonTap;3,0;4,0;0,3535533905932737;0,5
EustonTap;1,0;4,0;-0,7803300858899107;0,42677669529663703
EustonTap;2,0;4,0;-0,32322330470336313;0,676776695296637
EustonTap;1,0;3,0;-0,676776695296637;0,2196699141100893
EustonTap;1,0;1,0;-0,7803300858899108;-0,19454364826300558
EustonTap;2,0;4,0;-0,42677669529663703;0,17677669529663692
EustonTap;2,0;4,0;-0,17677669529663692;0,5303300858899106
EustonTap;3,0;4,0;0,07322330470336298;0,42677669529663703
EustonTap;1,0;5,0;-0,676776695296637;0,34099025766973207
EustonTap;3,0;3,0;0,14644660940672605;0,14644660940672632
EustonTap;2,0;2,0;-0,2071067811865477;0,23223304703363115
EustonTap;2,0;4,0;-0,10355339059327391;0,3964466094067262
