Modelo;MAE;RMSE;MSE;R2;JS Divergence;KL Divergence;DME
XGBoost;0,2681;0,3428;0,1175;0,1431;0,3128;2,8066;0,0187
LinearRegression;0,2698;0,3373;0,1138;0,1703;0,2885;2,7382;0,0081
RandomForest;0,2701;0,347;0,1204;0,1219;0,3014;2,7635;0,0239
GaussianProcess;0,2707;0,3427;0,1174;0,1437;0,4001;8,1446;0,0269
SVR;0,2749;0,3477;0,1209;0,1182;0,3861;3,6733;0,0035
Lasso;0,2766;0,3472;0,1205;0,1211;0,3037;2,0144;0,014
