Modelo;R2 (Varianza Explicada);MAE (Error Absoluto);RMSE (Error Raíz Cuadrada)
XGBoost;-0.5706;0.3131;0.3815
SVR;-0.6409;0.3206;0.3899
Lasso;-0.753;0.3276;0.403
RandomForest;-0.7662;0.3344;0.4045
GaussianProcess;-0.8327;0.3358;0.4121
LinearRegression;-0.9236;0.325;0.4222
