Modelo;MAE (Error Absoluto);RMSE;R2 (Varianza);JS Divergence;KL Divergence;DME
Lasso;0,2505;0,3023;-0,1849;0,2618;1,6493;0,0073
RandomForest;0,2611;0,326;-0,3784;0,3653;3,1454;0,1055
LinearRegression;0,2756;0,3446;-0,5392;0,1481;0,0902;0,0375
SVR;0,2773;0,3442;-0,5361;0,2916;2,4225;0,104
GaussianProcess;0,2791;0,3454;-0,5468;0,4063;2,9352;0,1356
XGBoost;0,2835;0,3493;-0,582;0,3178;2,4868;0,1365
