Modelo;R2 (Varianza Explicada);MAE (Error Absoluto);RMSE (Error Raíz Cuadrada);MSE;JS Divergence (0=Perfecto);KL Divergence;DME (Error Consenso)
RandomForest;0,3606;0,2268;0,3208;0,1029;0,4539;7,142;0,0822
LinearRegression;0,1915;0,2911;0,3607;0,1301;0,4298;5,3341;0,1249
