Modelo;R2 (Varianza Explicada);MAE (Error Absoluto);RMSE (Error Raíz Cuadrada);MSE
RandomForest;0,3606;0,2268;0,3208;0,1029
LinearRegression;0,1915;0,2911;0,3607;0,1301
