Modelo;R2 (Varianza Explicada);MAE (Error Absoluto);RMSE (Error Raíz Cuadrada);MSE
RandomForest;-0,0423;0,2235;0,3;0,09
LinearRegression;-0,1491;0,237;0,315;0,0992
