Modelo;R2 (Varianza Explicada);MAE (Error Absoluto);RMSE (Error Raíz Cuadrada);MSE;JS Divergence (0=Perfecto);KL Divergence;DME (Error Consenso)
RandomForest;-0,0423;0,2235;0,3;0,09;0,3463;3,7585;0,0223
LinearRegression;-0,1491;0,237;0,315;0,0992;0,2823;2,5016;0,0152
