Modelo;MAE (Error Absoluto);RMSE;MSE;R2 (Varianza);JS Divergence;KL Divergence;DME
XGBoost;0,2739;0,3607;0,1301;0,3793;0,3769;3,6693;0,0537
RandomForest;0,287;0,3721;0,1385;0,3395;0,3848;3,6727;0,04
SVR;0,295;0,3795;0,1441;0,3128;0,393;5,4128;0,0652
GaussianProcess;0,3039;0,3809;0,1451;0,3077;0,4147;5,4848;0,0347
Lasso;0,3109;0,3903;0,1523;0,2732;0,3967;5,3943;0,0122
LinearRegression;0,3269;0,4037;0,163;0,2224;0,3658;3,6152;0,012
