locationid;sessionid;recordid;lzeq_l;lzeq_min;lzeq_max;lzeq_l5;lzeq_l10;lzeq_l50;lzeq_l90;lzeq_l95;lceq_l(c);lceq_min(c);lceq_max(c);lceq_l5(c);lceq_l10(c);lceq_l50(c);lceq_l90(c);lceq_l95(c);laeq_l(a);laeq_min(a);laeq_max(a);laeq_l5(a);laeq_l10(a);laeq_l50(a);laeq_l90(a);laeq_l95(a);n_n5;n_min;n_max;n_n10;n_n50;n_n90;n_n95;s_s;s_min;s_max;s_s5;s_s10;s_s50;s_s90;s_s95;r_r;r_min;r_max;r_r5;r_r10;r_r50;r_r90;r_r95;t_tonalityhms;t_min;t_max;t_t5;t_t10;t_t50;t_t90;t_t95;fs_f;fs_min;fs_max;fs_f5;fs_f10;fs_f50;fs_f90;fs_f95;i_i;i_min;i_max;i_i5;i_i10;i_i50;i_i90;i_i95;ra_cp;ra_min;ra_max;ra_cp5;ra_cp10;ra_cp50;ra_cp90;ra_cp95;thd_thd;thd_min;thd_max;thd_l5;thd_l10;thd_l50;thd_l90;thd_l95
Noorderplantsoen;Noorderplantsoen1;97;58,11;54,35;61,5;60,02;59,5;57,86;56,64;56,38;57,13;53,66;60,52;58,9;58,47;56,9;55,77;55,5;49,93;45,19;59,65;54,19;51,76;48,44;46,99;46,76;8,61;0,0;12,5;7,9;6,48;5,69;5,48;1,87;0,0;3,41;2,43;2,24;1,81;1,54;1,47;0,0201;0,00982;0,0482;0,0281;0,0258;0,0199;0,0149;0,0138;0,255;0,0;1,2;0,646;0,531;0,187;0,0346;0,0193;0,0173;0,00383;0,0475;0,037;0,0325;0,0164;0,0058;0,00507;0,44;0,245;1,2;0,699;0,599;0,41;0,308;0,289;8,22;0,0;58,5;20,2;15,6;6,65;2,95;2,3;-5,08;-15,81;49,61;24,88;20,09;-1,12;-14,36;-14,73
Noorderplantsoen;Noorderplantsoen1;96;65,56;58,05;75,12;72,93;68,99;62,82;59,28;58,8;65,05;57,03;74,88;72,63;68,76;62,12;58,28;57,85;60,49;49,15;70,96;67,65;64,63;56,63;50,95;50,43;22,9;0,0;28,7;18,6;11,0;7,58;7,26;2,07;0,0;3,03;2,62;2,47;2,02;1,73;1,67;0,033;0,0125;0,211;0,096;0,0515;0,0252;0,0176;0,0162;0,11;0,0;0,572;0,27;0,21;0,0499;0,0083;0,00463;0,0134;0,00334;0,043;0,0344;0,0285;0,0118;0,005;0,00464;0,398;0,227;0,959;0,571;0,524;0,389;0,289;0,272;7,43;0,212;42,8;16,0;12,9;6,41;3,03;2,37;-1,39;-6,43;56,21;35,54;29,56;11,23;-4,84;-5,27
Noorderplantsoen;Noorderplantsoen1;3;62,33;57,69;67,57;65,81;65,16;61,01;59,29;58,93;61,58;56,79;66,6;64,92;64,46;60,23;58,48;58,15;56,87;50,15;63,96;60,58;59,89;55,17;51,76;51,19;13,6;0,0;18,2;13,1;9,85;8,06;7,79;2,06;0,0;3,34;2,51;2,39;2,04;1,75;1,67;0,0265;0,0125;0,0712;0,0446;0,0387;0,0243;0,0178;0,0165;0,161;0,0;1,52;0,347;0,267;0,056;0,00651;0,00259;0,0124;0,00396;0,0761;0,0511;0,0231;0,00685;0,00459;0,00445;0,525;0,227;1,22;0,819;0,725;0,5;0,345;0,315;7,79;0,372;47,8;18,5;14,0;6,42;3,13;2,47;-1,75;-7,63;52,0;32,95;25,38;8,38;-5,1;-5,75
Noorderplantsoen;Noorderplantsoen1;4;72,02;60,94;78,14;76,85;76,06;68,09;64,02;62,99;71,43;59,89;77,45;76,06;75,34;67,76;63,03;61,88;66,66;51,76;74,92;71,87;71,08;62,59;55,51;53,82;29,4;0,0;38,4;27,3;16,4;10,1;9,3;2,07;0,0;3,73;2,7;2,5;2,02;1,73;1,62;0,0328;0,0155;0,0816;0,0509;0,0461;0,0316;0,0216;0,0195;0,107;0,0;0,814;0,274;0,202;0,0526;0,00884;0,00398;0,00714;0,00266;0,0167;0,0151;0,0118;0,00662;0,00356;0,00308;0,372;0,217;0,816;0,538;0,5;0,345;0,275;0,263;7,39;0,544;45,2;14,6;12,0;6,61;3,44;2,73;-1,17;-3,74;59,99;42,47;35,73;13,76;-0,45;-1,42
Noorderplantsoen;Noorderplantsoen1;90;72,02;60,94;78,14;76,85;76,06;68,09;64,02;62,99;71,43;59,89;77,45;76,06;75,34;67,76;63,03;61,88;66,66;51,76;74,92;71,87;71,08;62,59;55,51;53,82;29,4;0,0;38,4;27,3;16,4;10,1;9,3;2,07;0,0;3,73;2,7;2,5;2,02;1,73;1,62;0,0328;0,0155;0,0816;0,0509;0,0461;0,0316;0,0216;0,0195;0,107;0,0;0,814;0,274;0,202;0,0526;0,00884;0,00398;0,00714;0,00266;0,0167;0,0151;0,0118;0,00662;0,00356;0,00308;0,372;0,217;0,816;0,538;0,5;0,345;0,275;0,263;7,39;0,544;45,2;14,6;12,0;6,61;3,44;2,73;-1,17;-3,74;59,99;42,47;35,73;13,76;-0,45;-1,42
Noorderplantsoen;Noorderplantsoen1;5;61,75;55,11;72,39;65,33;64,48;60,37;57,75;57,24;59,52;54,13;67,46;63,58;62,17;58,55;56,43;55,84;51,18;46,48;59,45;55,7;54,64;50,47;47,64;47,22;10,3;0,0;13,8;9,28;7,13;5,82;5,65;1,78;0,0;2,77;2,2;2,09;1,76;1,48;1,42;0,0243;0,00914;0,206;0,0446;0,0324;0,0217;0,0161;0,0147;0,132;0,0;0,904;0,369;0,219;0,0411;0,00477;0,00229;0,0101;0,00239;0,0389;0,0289;0,0211;0,00748;0,00344;0,00296;0,466;0,221;1,2;0,779;0,677;0,432;0,304;0,283;6,85;0,0638;40,7;17,7;13,9;5,25;2,27;1,74;-2,13;-13,96;53,11;26,71;19,66;1,97;-12,25;-12,76
Noorderplantsoen;Noorderplantsoen1;87;61,75;55,11;72,39;65,33;64,48;60,37;57,75;57,24;59,52;54,13;67,46;63,58;62,17;58,55;56,43;55,84;51,18;46,48;59,45;55,7;54,64;50,47;47,64;47,22;10,3;0,0;13,8;9,28;7,13;5,82;5,65;1,78;0,0;2,77;2,2;2,09;1,76;1,48;1,42;0,0243;0,00914;0,206;0,0446;0,0324;0,0217;0,0161;0,0147;0,132;0,0;0,904;0,369;0,219;0,0411;0,00477;0,00229;0,0101;0,00239;0,0389;0,0289;0,0211;0,00748;0,00344;0,00296;0,466;0,221;1,2;0,779;0,677;0,432;0,304;0,283;6,85;0,0638;40,7;17,7;13,9;5,25;2,27;1,74;-2,13;-13,96;53,11;26,71;19,66;1,97;-12,25;-12,76
Noorderplantsoen;Noorderplantsoen1;84;63,68;59,0;73,02;68,87;65,06;61,54;60,34;59,94;63,05;57,91;72,79;68,47;64,42;60,89;59,67;59,37;59,25;51,16;70,55;66,3;60,57;54,84;52,32;51,91;20,5;0,0;29,3;14,2;9,92;8,32;8,1;2,06;0,0;3,34;2,72;2,43;1,99;1,78;1,73;0,0278;0,0124;0,12;0,0485;0,0388;0,0246;0,0178;0,0164;0,143;0,0;1,04;0,384;0,279;0,0688;0,0125;0,00595;0,0148;0,00555;0,0386;0,0355;0,027;0,0113;0,00663;0,0063;0,415;0,205;1,16;0,726;0,605;0,387;0,273;0,249;8,7;0,463;51,7;20,9;16,3;7,04;3,29;2,55;-1,67;-11,79;52,22;32,56;29,09;10,23;-7,92;-8,89
Noorderplantsoen;Noorderplantsoen1;83;65,96;60,28;74,54;69,55;68,01;65,37;62,33;61,94;65,22;59,55;74,38;69,09;67,44;63,89;61,54;61,19;60,61;51,04;72,64;65,49;63,26;58,37;53,2;52,69;18,0;0,0;30,0;16,7;12,8;9,03;8,66;2,05;0,0;3,03;2,46;2,36;2,03;1,76;1,7;0,0324;0,0127;0,123;0,0679;0,0575;0,0288;0,0198;0,018;0,122;0,0;2,0;0,32;0,244;0,0742;0,0157;0,00938;0,0134;0,00261;0,0603;0,0401;0,0289;0,00804;0,00294;0,00284;0,501;0,263;1,27;0,948;0,804;0,433;0,311;0,292;7,97;0,194;77,3;22,8;16,7;5,68;2,61;1,97;-1,17;-12,15;56,61;35,1;30,51;8,72;-10,08;-10,51
Noorderplantsoen;Noorderplantsoen1;6;67,46;57,57;78,04;72,25;70,37;64,71;61,11;59,98;66,19;56,57;74,19;71,2;69,59;63,78;60,32;58,69;60,09;49,95;69,31;66,06;64,44;55,78;52,3;51,29;20,9;0,0;27,5;18,8;10,8;8,15;7,51;2,01;0,0;3,09;2,66;2,49;1,93;1,65;1,6;0,0412;0,0112;0,176;0,125;0,075;0,0292;0,0189;0,0175;0,198;0,0;0,731;0,455;0,351;0,173;0,0512;0,0327;0,00935;0,00329;0,0317;0,0222;0,0165;0,00755;0,005;0,00375;0,379;0,198;1,18;0,563;0,5;0,36;0,26;0,24;6,6;0,0433;51,1;13,2;10,7;5,83;3,03;2,41;-1,54;-5,8;57,66;34,52;30,53;10,32;-0,44;-1,59
Noorderplantsoen;Noorderplantsoen1;7;65,64;57,63;78,8;70,2;69,35;63,42;60,44;59,85;65,25;56,91;78,09;69,96;69,06;62,87;59,78;59,15;62,06;50,18;78,65;67,74;66,78;58,53;52,05;51,6;21,3;0,0;41,8;20,2;12,5;8,34;8,02;2,08;0,0;3,54;2,55;2,48;2,06;1,75;1,69;0,0338;0,0119;0,273;0,0697;0,0592;0,0289;0,0192;0,017;0,16;0,0;1,25;0,501;0,344;0,0858;0,0191;0,0107;0,0182;0,00541;0,0663;0,0431;0,0324;0,0149;0,0084;0,00741;0,428;0,169;3,8;0,739;0,604;0,381;0,273;0,255;8,33;0,589;154,0;18,9;14,7;6,62;3,25;2,57;-1,52;-8,73;55,18;36,6;30,91;14,14;-3,05;-4,17
Noorderplantsoen;Noorderplantsoen1;85;65,64;57,63;78,8;70,2;69,35;63,42;60,44;59,85;65,25;56,91;78,09;69,96;69,06;62,87;59,78;59,15;62,06;50,18;78,65;67,74;66,78;58,53;52,05;51,6;21,3;0,0;41,8;20,2;12,5;8,34;8,02;2,08;0,0;3,54;2,55;2,48;2,06;1,75;1,69;0,0338;0,0119;0,273;0,0697;0,0592;0,0289;0,0192;0,017;0,16;0,0;1,25;0,501;0,344;0,0858;0,0191;0,0107;0,0182;0,00541;0,0663;0,0431;0,0324;0,0149;0,0084;0,00741;0,428;0,169;3,8;0,739;0,604;0,381;0,273;0,255;8,33;0,589;154,0;18,9;14,7;6,62;3,25;2,57;-1,52;-8,73;55,18;36,6;30,91;14,14;-3,05;-4,17
Noorderplantsoen;Noorderplantsoen1;8;65,18;60,01;71,12;68,9;68,04;64,4;62,02;61,69;64,66;59,34;70,44;68,64;67,64;63,8;61,34;60,95;60,71;51,66;70,25;66,58;65,62;57,82;53,6;52,85;17,5;0,0;21,6;16,4;11,4;9,21;8,81;1,97;0,0;3,17;2,39;2,27;1,93;1,74;1,69;0,0341;0,0102;0,174;0,0807;0,0584;0,0272;0,0192;0,0172;0,243;0,0;1,62;0,77;0,54;0,0862;0,0102;0,00505;0,0308;0,0092;0,0735;0,0595;0,0527;0,0262;0,0148;0,0127;0,5;0,18;1,25;0,867;0,734;0,463;0,325;0,286;12,9;0,424;65,9;33,0;25,1;10,2;4,22;3,26;-1,76;-6,22;52,69;36,99;26,73;8,8;-3,21;-4,11
Noorderplantsoen;Noorderplantsoen1;10;66,08;60,82;71,25;69,21;68,44;65,67;62,9;62,01;65,61;59,89;71,05;68,88;68,05;65,15;62,26;61,33;60,33;51,92;67,72;64,45;63,25;59,65;54,53;53,68;16,8;0,0;21,7;15,8;12,2;9,23;8,75;1,76;0,0;2,93;2,16;2,07;1,75;1,51;1,45;0,0477;0,0144;0,314;0,113;0,0804;0,0368;0,0249;0,0216;0,13;0,0;1,37;0,332;0,237;0,0651;0,0109;0,00536;0,0318;0,00466;0,118;0,101;0,0766;0,0237;0,0066;0,00504;0,441;0,204;1,7;0,7;0,618;0,409;0,301;0,279;11,9;0,569;83,3;30,1;22,5;9,37;4,29;3,42;-1,58;-11,56;54,81;37,41;25,56;5,18;-9,36;-10,13
Noorderplantsoen;Noorderplantsoen1;9;66,08;60,82;71,25;69,21;68,44;65,67;62,9;62,01;65,61;59,89;71,05;68,88;68,05;65,15;62,26;61,33;60,33;51,92;67,72;64,45;63,25;59,65;54,53;53,68;16,8;0,0;21,7;15,8;12,2;9,23;8,75;1,76;0,0;2,93;2,16;2,07;1,75;1,51;1,45;0,0477;0,0144;0,314;0,113;0,0804;0,0368;0,0249;0,0216;0,13;0,0;1,37;0,332;0,237;0,0651;0,0109;0,00536;0,0318;0,00466;0,118;0,101;0,0766;0,0237;0,0066;0,00504;0,441;0,204;1,7;0,7;0,618;0,409;0,301;0,279;11,9;0,569;83,3;30,1;22,5;9,37;4,29;3,42;-1,58;-11,56;54,81;37,41;25,56;5,18;-9,36;-10,13
